Deep Well Plate,Deep Well Position,Name
SP003090,A1,EMPTY1
,B1,EMPTY2
,C1,Empty3
,D1,EMPTY4
,E1,EMPTY5
,F1,EMPTY6
,G1,EMPTY7
,H1,EMPTY8
,A2,EMPTY9
,B2,BX2H1LHGT
,C2,BX2RUMGBH
,D2,BX2C1LBDM
,E2,BXVU8WTUH
,F2,BXWTHLFC1
,G2,BX7TDM7R2
,H2,BXFEQ45T1
,A3,EMPTY10
,B3,BX4WCV6Q8
,C3,BXV9SNVQ7
,D3,BXEGPNEA4
,E3,BXHC7LAGP
,F3,BX9W773WA
,G3,BXD2GE5HL
,H3,BX35522JB
,A4,EMPTY11
,B4,BX5NKCU67
,C4,BXU97DE7B
,D4,BXL4BSQ2K
,E4,BXT7LK522
,F4,BX5QBF3LN
,G4,BXPVR585H
,H4,BX9V62F2S
,A5,EMPTY12
,B5,BXCPNGPHG
,C5,BXKVBEFKW
,D5,BXN2B73QL
,E5,BXGHK58WN
,F5,BXGNJ6RR7
,G5,BXW8SBAG5
,H5,BX3A7UB5D
,A6,EMPTY13
,B6,BXJHQW2GU
,C6,BXGVWSLUB
,D6,BX6JTRNDR
,E6,BX457TBLL
,F6,BXC5GJ19V
,G6,BXPAWV3EM
,H6,BX2MQQU32
,A7,EMPTY14
,B7,BXVQTVM5L
,C7,BXASRFVCQ
,D7,BXDWJRKKN
,E7,BX442CH52
,F7,BXEAVRN51
,G7,BXBNVEB9W
,H7,BXEJP939J
,A8,EMPTY15
,B8,BX6C234R7
,C8,BXRFKQ198
,D8,BXW35PU3R
,E8,BXD6UBPHG
,F8,BXSB3UWDQ
,G8,BXVBDBVAW
,H8,BXKELT8UJ
,A9,S0123399
,B9,BX3GFTW5D
,C9,bxqcduca2
,D9,BXF7P5U2L
,E9,BX8H56VNC
,F9,BXTPG88D3
,G9,BX95NV52B
,H9,BXKSFSPA4
,A10,EMPTY16
,B10,BXB3KKSG8
,C10,BX3VU51QS
,D10,BX6PB7KWS
,E10,BXPAA65A1
,F10,BXW615W6D
,G10,BXT9VFHHC
,H10,BXK168R4D
,A11,BX1H6EP17
,B11,BXV4RRGF9
,C11,BX17K7BPK
,D11,BX5HGG5JC
,E11,BX8KV8KLH
,F11,BX2TWREQ7
,G11,BXVCVB2TF
,H11,BX882VVMP
,A12,BXNGFMLPS
,B12,BX2P1KKUN
,C12,BX7QW73QN
,D12,BXTDV9WMV
,E12,BX7QNDS6L
,F12,BXB5BPBBM
,G12,Water
,H12,Water2
