,0
0,BXW6CKPM1_NOT
1,BXG2DS8GD_NOTORAL
2,BX9QNHKN9_NOT
3,BXHE7AVG9_NOTORAL
4,BXU6N8QRB_NOT
5,BX9RHFBGM_NOT
6,PC003398
7,BX7Q7PDEA_NOT
8,BXQGL1CNG_NOT
9,NTC012177
10,BX2NS49ND_NOT
11,BX3MK8JR5_NOTORAL
12,BXCCU8QEE_NOT
13,BXKT8WS5T
14,BX2EJKQRJ_NOTORAL
15,BXNM2W149_NOT
16,BXEAADSKV_NOTORAL
17,PBS003846
18,BXADP4HRK_NOTORAL
19,BXHMCKKGG_NOTORAL
20,BXKPLH44R_NOTORAL
21,BXAD7P6MQ_NOTORAL
22,NO_BARCODE
23,BXLLTGPQC_NOTORAL
24,NTC012185
25,BX4FT2R6J_NOTORAL
26,BX568K43S_NOT
27,BXF1P1W1C_NOT
28,BXLT9NQMQ_NOT
29,BXBDEVMM7_NOT
30,BXG2MQAHG_NOT
31,BX32P53FV
32,BX825CEHU_NOTORAL
33,BXKT8W_WORNAWAY
34,BXLSV6TJG_NOTORAL
35,BXE9LCQK2_NOTORAL
36,BXDG41M63_NOT
37,BXJE3H13C_NOT
38,BXHGBGQTQ_NOTORAL
