sample,num_processed,num_pseudoaligned,perc_pseuoaligned,exon_counts,perc_exons,rrna_counts,perc_rrna,ercc_counts,perc_ercc,frag_len,PF Clusters,384 Well Location,TotalReadCounts,AdaptorReadCounts
BX14QN655,37746,14457,38.30,13933,96.38,13,0.09,508,3.51,210.487,"10,013",F10,303,59
BX15Q451G,85462,30396,35.57,29658,97.57,72,0.24,611,2.01,209.807,"10,512",F17,63620,244
BX1HB1W9R,1256,330,26.27,319,96.67,2,0.61,7,2.12,172.624,"11,040",J11,1074,13
BX1JSK6VC,19907,6684,33.58,6241.09,93.37,33.908,0.51,389,5.82,205.898,"11,121",N6,1618,89
BX238NUWW,537388,26620,4.95,23059.4,86.62,76.5644,0.29,3232,12.14,196.39,"11,205",K12,3651,152
BX2J53QF2,29013,1831,6.31,1692,92.41,5,0.27,124,6.77,192.914,"11,713",B13,293647,691
BX2RPACEL,57343,22215,38.74,21036.5,94.70,84.4861,0.38,1073,4.83,239.306,"12,287",G23,126209,401
BX2TGR46U,68685,26657,38.81,25022.9,93.87,118.083,0.44,1422,5.33,209.005,"12,673",M4,1164,42
BX339A6AV,6752,2819,41.75,2427,86.09,26,0.92,331,11.74,189.374,"13,041",C4,41516,164
BX368MPRJ,299167,16041,5.36,13305,82.94,47,0.29,2659,16.58,200.08,"13,576",D8,762,168
BX36TVAVC,1719,824,47.93,569,69.05,4,0.49,249,30.22,195.675,"14,513",M14,6090,57
BX3AFBQEP,6892,1743,25.29,1663,95.41,4,0.23,72,4.13,186.281,"14,567",H15,71551,436
BX3C2UNKA,25536,11409,44.68,8670,75.99,139,1.22,2484,21.77,207.953,"14,885",O4,2196,97
BX3GVALQN,68478,32006,46.74,31099,97.17,58,0.18,803,2.51,208.069,"15,166",D12,1031,39
BX3NRDLFW,55441,10527,18.99,8274,78.60,39,0.37,2126,20.20,208.337,"15,331",B23,251746,501
BX42JWFRL,188997,75103,39.74,71839.7,95.65,168.284,0.22,3076,4.10,214.41,"15,386",N7,125048,179
BX43JERMG,5008,936,18.69,878,93.80,7,0.75,44,4.70,185.711,"16,079",E4,29320,57
BX45NE3EK,27182,4841,17.81,4579.8,94.60,28.1969,0.58,229,4.73,212.675,"16,131",K22,2769,99
BX484M23G,34215,7489,21.89,7333,97.92,13,0.17,135,1.80,187.927,"16,860",L23,146801,510
BX5B2VRNW,26723,7625,28.53,6788.85,89.03,20.1493,0.26,790,10.36,212.443,"17,183",D5,15331,93
BX5DNA8MC,41176,2984,7.25,2219,74.36,4,0.13,761,25.50,197.062,"18,509",O20,3438,116
BX5J5K51S,19876,10929,54.99,9094.02,83.21,168.98,1.55,1575,14.41,215.043,"18,811",C19,22569,235
BX5MH5V4G,70079,13167,18.79,12266.3,93.16,48.6874,0.37,790,6.00,205.798,"19,263",C13,107496,1265
BX6HEBAVF,75012,26254,35.00,25500.1,97.13,117.868,0.45,500,1.90,209.47,"19,275",M2,1180,55
bx6khewcf,19387,4025,20.76,3497,86.88,6,0.15,515,12.80,193.729,"19,387",E10,6609,74
BX6L89WVR,1393,120,8.61,112,93.33,4,3.33,4,3.33,184.067,"19,415",L7,440303,1012
BX6M9MRCK,31410,12842,40.89,11524,89.74,143,1.11,1072,8.35,214.383,"19,571",E6,18509,651
BX6P1ETSB,59163,25886,43.75,25182,97.28,25,0.10,661,2.55,219.671,"19,876",B3,67544,206
BX6R1WEK3,211038,81454,38.60,79107,97.12,557.011,0.68,1359,1.67,217.186,"19,907",H10,2599,68
BX76J79LS,29110,10198,35.03,9433.81,92.51,41.1906,0.40,554,5.43,206.416,"21,123",N11,48138,186
BX77NAVJ1,32190,21298,66.16,18027,84.64,229,1.08,2393,11.24,192.792,"22,502",D11,34065,312
BX7AP8J9E,182484,49900,27.34,42501.1,85.17,1696.93,3.40,4206,8.43,202.903,"22,569",G14,35141,177
BX7BRJKKU,3341,695,20.80,648,93.24,4,0.58,43,6.19,181.677,"22,578",I10,4664,102
BX7H1NFMV,133813,51414,38.42,46133.2,89.73,1414.81,2.75,3217,6.26,208.051,"22,584",C6,6985,58
BX7LT8EJ8,90350,8554,9.47,8029,93.86,27,0.32,343,4.01,185.39,"23,784",H7,29962,128
BX7UEKWMH,4432,453,10.22,377,83.22,21,4.64,55,12.14,201.472,"24,585",J10,2061,65
BX8AKCWF6,53883,25656,47.61,21623,84.28,106,0.41,3841,14.97,207.452,"24,727",M13,350514,1013
BX8GF1RSQ,136547,48081,35.21,46161.1,96.01,296.943,0.62,1358,2.82,198.758,"25,061",L12,2090,72
BX952UUTA,6433,1009,15.68,937.999,92.96,23,2.28,47,4.66,186.696,"25,536",N3,4421,123
BX95NV52B,49981,16380,32.77,14936.1,91.18,131.927,0.81,1279,7.81,211.034,"26,335",D6,1610,91
BX99DNWTR,546597,121964,22.31,118688,97.31,547.957,0.45,2197,1.80,220.917,"26,723",O5,17183,107
BX9DEP3WT,160693,70368,43.79,65874.5,93.61,405.477,0.58,3997,5.68,223.515,"27,182",J7,9203,80
BX9E9A7QW,25061,11057,44.12,9829,88.89,71,0.64,1062,9.60,202.933,"27,943",H6,320,32
BX9R8GT6W,72896,38720,53.12,27693.1,71.52,900.921,2.33,9883,25.52,191.713,"28,172",I23,68099,377
BX9UHJRE1,223129,107155,48.02,103780,96.85,1274.51,1.19,1742,1.63,240.141,"28,613",G11,358243,1472
BXA3NNEW4,2409,352,14.61,312,88.64,12,3.41,27,7.67,199.989,"28,737",C15,14885,124
BXA824AEK,1752,263,15.01,251,95.44,6,2.28,6,2.28,175.04,"29,013",I8,4749,42
BXALMKF5D,63252,20633,32.62,19549.5,94.75,121.513,0.59,924,4.48,216.658,"29,110",N9,47654,146
BXBKMPSLC,28172,14409,51.15,12650,87.79,259,1.80,1185,8.22,195.573,"29,320",C10,13041,57
BXBQPG8WL,202428,13407,6.62,13110.8,97.79,27.1764,0.20,205,1.53,202.056,"29,630",K16,202428,451
BXBWQMRNN,13041,4743,36.37,4662,98.29,6,0.13,74,1.56,215.327,"29,962",F9,77840,262
BXC587CU5,47654,22942,48.14,22244,96.96,142,0.62,522,2.28,242.03,"31,410",K13,28172,121
BXCGT8T6B,68099,25682,37.71,24964.6,97.21,66.4402,0.26,617,2.40,215.237,"32,190",N23,2349,97
