Well,Name
A1,BXWPE8V4G
A2,BXFVQMFRQ
A3,BXRKBWVWK
A4,BX8BMHSFP
A5,BXJVKRMBM
A6,BXBLFTVDW
A7,BXCCJWP1W
A8,BXSRGNQT3
A9,BXLF45EC6
A10,bxd581nvf
A11,BXDG41M63_NOT
A12,BXJE3H13C_NOT
B1,BXBQMAUDF
B2,BXKN9SEDL
B3,BXHDVEHDU
B4,BX7V4US99
B5,BXG4WWSTW
B6,BXSBCAQQL
B7,BX2JMKKAS
B8,BXP41396C
B9,BXLWBJ5H5
B10,BX32P53FV
B11,BXNM2W149_NOT
B12,BX9RHFBGM_NOT
C1,BX815L5KT
C2,BXT6CKTMG
C3,BX6SR33CE
C4,BXESL16D6
C5,BXUJEG1PU
C6,BXM4KVMJM
C7,BXC7VJCN2
C8,BX2H7W3DU
C9,BXVPQS5NE
C10,BXS7KT799
C11,BXLT9NQMQ_NOT
C12,BXG2MQAHG_NOT
D1,BX1W8E76E
D2,BX24PF69J
D3,BXFQTGAAN
D4,BXGPNEGST
D5,BXDDDTU76
D6,BX13WW6PV
D7,BXWFFB36C
D8,BXS2GNR73
D9,BXHNEAEB6
D10,BXFM94917
D11,BX7Q7PDEA_NOT
D12,BX9QNHKN9_NOT
E1,BXG2TDSLC
E2,BXHMLWP89
E3,BX7VD7AVD
E4,BXFGEDAFP
E5,BXFB6VLE6
E6,BXV5TNMND
E7,BXRVKJWB8
E8,BXLUFC5NG
E9,BXVP5L7PB
E10,BX53EDSCJ
E11,BX568K43S_NOT
E12,BXU6N8QRB_NOT
F1,BX7J3TJA2
F2,BXBEVERQ7
F3,BXRNL8KRQ
F4,BXWJ5HDM2
F5,BX73CMG6W
F6,BXBVGGVAH
F7,BXJ9LNTR7
F8,BXA893HLN
F9,BXHM4LFE6
F10,BX9EPQQEN
F11,BX2NS49ND_NOT
F12,BXW6CKPM1_NOT
G1,BXUMJF9KQ
G2,BXDQ1EBW6
G3,BX61NLKUK
G4,BXKT8WS5T
G5,BX4998E4U
G6,BXNG32L6U
G7,BX4LSTS4D
G8,BXSWD3NBP
G9,BXHNMR9VV
G10,BXQGL1CNG_NOT
G11,BXBDEVMM7_NOT
G12,PBS003846
H1,BX4J7KS64
H2,BXS8A8PVF
H3,BXAD8QPVB
H4,BX7KRWCSW
H5,BX8S7TTPK
H6,BX598LU4W
H7,BXW66V2ET
H8,BXL8TBU3K
H9,BXPSAULAL
H10,BXCCU8QEE_NOT
H11,BXF1P1W1C_NOT
H12,NTC012185
