Well,Name
A1,NTC012177
A2,BX2JMKKAS
A3,BXSWD3NBP
A4,BXV5TNMND
A5,BXC7VJCN2
A6,BX4J7KS64
A7,BXHDVEHDU
A8,BX2EJKQRJ_NOTORAL
A9,BX4FT2R6J_NOTORAL
A10,BXHGBGQTQ_NOTORAL
A11,BXADP4HRK_NOTORAL
A12,BXHE7AVG9_NOTORAL
B1,BXFM94917
B2,BXVP5L7PB
B3,BXLUFC5NG
B4,BX7V4US99
B5,BXFGEDAFP
B6,BXUJEG1PU
B7,BXBEVERQ7
B8,BX2H7W3DU
B9,BXDDDTU76
B10,BXFQTGAAN
B11,BXD581NVF
B12,BXAD7P6MQ_NOTORAL
C1,BXWFFB36C
C2,BXVPQS5NE
C3,BXL8TBU3K
C4,BXESL16D6
C5,BX61NLKUK
C6,BXLF45EC6
C7,BX815L5KT
C8,BXSRGNQT3
C9,BXRKBWVWK
C10,BXHMLWP89
C11,BXCCJWP1W
C12,BXLSV6TJG_NOTORAL
D1,BXP41396C
D2,BXHNEAEB6
D3,BX24PF69J
D4,BX8BMHSFP
D5,BXBLFTVDW
D6,BX53EDSCJ
D7,BXLWBJ5H5
D8,BX4998E4U
D9,BXFB6VLE6
D10,BXG4WWSTW
D11,BX7J3TJA2
D12,BX3MK8JR5_NOTORAL
E1,BXFVQMFRQ
E2,BX9EPQQEN
E3,BXSBCAQQL
E4,BX8S7TTPK
E5,BX598LU4W
E6,BXJVKRMBM
E7,BXRVKJWB8
E8,BXBQMAUDF
E9,BXDQ1EBW6
E10,BXA893HLN
E11,BXS2GNR73
E12,BXHMCKKGG_NOTORAL
F1,BXHM4LFE6
F2,BXPSAULAL
F3,BX13WW6PV
F4,BX7VD7AVD
F5,BXUMJF9KQ
F6,BX6SR33CE
F7,BXRNL8KRQ
F8,BXM4KVMJM
F9,BX73CMG6W
F10,BXWJ5HDM2
F11,BXWPE8V4G
F12,BXKPLH44R_NOTORAL
G1,BX1W8E76E
G2,NO_BARCODE
G3,BXGPNEGST
G4,BXBVGGVAH
G5,BX4LSTS4D
G6,BX7KRWCSW
G7,BXJ9LNTR7
G8,BXS8A8PVF
G9,BXT6CKTMG
G10,BXS7KT799
G11,BXW66V2ET
G12,BXE9LCQK2_NOTORAL
H1,PC003398
H2,BXHNMR9VV
H3,BXNG32L6U
H4,BXG2TDSLC
H5,BXAD8QPVB
H6,BXKT8W_WORNAWAY
H7,BXKN9SEDL
H8,BXLLTGPQC_NOTORAL
H9,BX825CEHU_NOTORAL
H10,BXG2DS8GD_NOTORAL
H11,BXEAADSKV_NOTORAL
H12,BXEAADSKV_NOTORAL
