,Well_x,Name,Well_y
0,D6,BX13WW6PV,F3
1,D1,BX1W8E76E,G1
2,D2,BX24PF69J,D3
3,C8,BX2H7W3DU,B8
4,B7,BX2JMKKAS,A2
5,G5,BX4998E4U,D8
6,H1,BX4J7KS64,A6
7,G7,BX4LSTS4D,G5
8,E10,BX53EDSCJ,D6
9,H6,BX598LU4W,E5
10,G3,BX61NLKUK,C5
11,C3,BX6SR33CE,F6
12,F5,BX73CMG6W,F9
13,F1,BX7J3TJA2,D11
14,H4,BX7KRWCSW,G6
15,B4,BX7V4US99,B4
16,E3,BX7VD7AVD,F4
17,C1,BX815L5KT,C7
18,A4,BX8BMHSFP,D4
19,H5,BX8S7TTPK,E4
20,F10,BX9EPQQEN,E2
21,F8,BXA893HLN,E10
22,H3,BXAD8QPVB,H5
23,F2,BXBEVERQ7,B7
24,A6,BXBLFTVDW,D5
25,B1,BXBQMAUDF,E8
26,F6,BXBVGGVAH,G4
27,C7,BXC7VJCN2,A5
28,A7,BXCCJWP1W,C11
29,A10,BXD581NVF,B11
30,D5,BXDDDTU76,B9
31,G2,BXDQ1EBW6,E9
32,C4,BXESL16D6,C4
33,E5,BXFB6VLE6,D9
34,E4,BXFGEDAFP,B5
35,D10,BXFM94917,B1
36,D3,BXFQTGAAN,B10
37,A2,BXFVQMFRQ,E1
38,E1,BXG2TDSLC,H4
39,B5,BXG4WWSTW,D10
40,D4,BXGPNEGST,G3
41,B3,BXHDVEHDU,A7
42,F9,BXHM4LFE6,F1
43,E2,BXHMLWP89,C10
44,D9,BXHNEAEB6,D2
45,G9,BXHNMR9VV,H2
46,F7,BXJ9LNTR7,G7
47,A5,BXJVKRMBM,E6
48,B2,BXKN9SEDL,H7
49,H8,BXL8TBU3K,C3
50,A9,BXLF45EC6,C6
51,E8,BXLUFC5NG,B3
52,B9,BXLWBJ5H5,D7
53,C6,BXM4KVMJM,F8
54,G6,BXNG32L6U,H3
55,B8,BXP41396C,D1
56,H9,BXPSAULAL,F2
57,A3,BXRKBWVWK,C9
58,F3,BXRNL8KRQ,F7
59,E7,BXRVKJWB8,E7
60,D8,BXS2GNR73,E11
61,C10,BXS7KT799,G10
62,H2,BXS8A8PVF,G8
63,B6,BXSBCAQQL,E3
64,A8,BXSRGNQT3,C8
65,G8,BXSWD3NBP,A3
66,C2,BXT6CKTMG,G9
67,C5,BXUJEG1PU,B6
68,G1,BXUMJF9KQ,F5
69,E6,BXV5TNMND,A4
70,E9,BXVP5L7PB,B2
71,C9,BXVPQS5NE,C2
72,H7,BXW66V2ET,G11
73,D7,BXWFFB36C,C1
74,F4,BXWJ5HDM2,F10
75,A1,BXWPE8V4G,F11
